Order Date,Customer Name,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Profit
08-11-2018,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,41.9136
08-11-2018,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,219.582
12-06-2018,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,6.8714
11-10-2017,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,-383.031
11-10-2017,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,2.5164
09-06-2016,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,14.1694
09-06-2016,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,1.9656
09-06-2016,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,90.7152
09-06-2016,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,5.7825
09-06-2016,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,34.47
09-06-2016,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,85.3092
09-06-2016,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,68.3568
15-04-2019,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,5.4432
05-12-2018,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,132.5922
22-11-2017,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,-123.858
22-11-2017,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,-3.816
11-11-2016,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,13.3176
13-05-2016,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,9.99
27-08-2016,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,2.4824
27-08-2016,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,16.011
27-08-2016,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,7.384
09-12-2018,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,5.0596
09-12-2018,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,15.6884
16-07-2019,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,-1.0196
25-09-2017,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,240.2649
16-01-2018,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,4.2224
16-01-2018,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,11.7741
17-09-2017,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,-1665.0522
17-09-2017,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,-7.0532
17-09-2017,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,15.525
17-09-2017,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,1.1016
17-09-2017,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,9.7092
17-09-2017,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,-5.715
17-09-2017,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,3.546
19-10-2019,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,3,9.9468
08-12-2018,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,123.4737
08-12-2018,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,-147.963
27-12-2017,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,35.415
27-12-2017,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,-46.9764
27-12-2017,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,-15.147
27-12-2017,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,41.7564
10-09-2019,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,16.5564
17-07-2018,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,3.894
19-09-2019,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,9.5616
11-03-2018,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,19.7714
11-03-2018,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,8.2062
20-10-2016,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,8.4784
20-06-2018,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,45,3,4.95
20-06-2018,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,6.104
18-04-2017,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,17.9634
18-04-2017,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,35.3346
18-04-2017,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,2.9568
18-04-2017,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,17.0981
11-12-2018,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,6.2566
